name,description,signature,url
"cupy.random.standard_normal","Returns an array of samples drawn from the standard normal distribution.","cupy.random.standard_normal(size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.standard_normal.html#cupy.random.standard_normal"
"cupy.random.standard_t","Standard Student’s t distribution.","cupy.random.standard_t(df\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.standard_t.html#cupy.random.standard_t"
"cupy.random.triangular","Triangular distribution.","cupy.random.triangular(left\, mode\, right\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.triangular.html#cupy.random.triangular"
"cupy.random.uniform","Returns an array of uniformly-distributed samples over an interval.","cupy.random.uniform(low=0.0\, high=1.0\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.uniform.html#cupy.random.uniform"
"cupy.random.vonmises","von Mises distribution.","cupy.random.vonmises(mu\, kappa\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.vonmises.html#cupy.random.vonmises"
"cupy.random.wald","Wald distribution.","cupy.random.wald(mean\, scale\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.wald.html#cupy.random.wald"
"cupy.random.weibull","weibull distribution.","cupy.random.weibull(a\, size=None\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.weibull.html#cupy.random.weibull"
"cupy.random.zipf","Zipf distribution.","cupy.random.zipf(a\, size=None\, dtype=<class 'int'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.random.zipf.html#cupy.random.zipf"
"cupy.ravel","Returns a flattened array.","cupy.ravel(a\, order='C')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.ravel.html#cupy.ravel"
"cupy.real","Returns the real part of the elements of the array.","cupy.real(val)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.real.html#cupy.real"
"cupy.reciprocal = <ufunc 'cupy_reciprocal'>","Computes 1 / x elementwise.","cupy.reciprocal = <ufunc 'cupy_reciprocal'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.reciprocal.html#cupy.reciprocal"
"cupy.remainder = <ufunc 'cupy_remainder'>","Computes the remainder of Python division elementwise.","cupy.remainder = <ufunc 'cupy_remainder'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.remainder.html#cupy.remainder"
"cupy.repeat","Repeat arrays along an axis.","cupy.repeat(a\, repeats\, axis=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.repeat.html#cupy.repeat"
"cupy.reshape","Returns an array with new shape and same elements.","cupy.reshape(a\, newshape\, order='C')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.reshape.html#cupy.reshape"
"cupy.result_type","Returns the type that results from applying the NumPy type promotion rules to the arguments.","cupy.result_type(*arrays_and_dtypes)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.result_type.html#cupy.result_type"
"cupy.right_shift = <ufunc 'cupy_right_shift'>","Shifts the bits of each integer element to the right.","cupy.right_shift = <ufunc 'cupy_right_shift'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.right_shift.html#cupy.right_shift"
"cupy.rint = <ufunc 'cupy_rint'>","Rounds each element of an array to the nearest integer.","cupy.rint = <ufunc 'cupy_rint'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.rint.html#cupy.rint"
"cupy.roll","Roll array elements along a given axis.","cupy.roll(a\, shift\, axis=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.roll.html#cupy.roll"
"cupy.rollaxis","Moves the specified axis backwards to the given place.","cupy.rollaxis(a\, axis\, start=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.rollaxis.html#cupy.rollaxis"
"cupy.rot90","Rotate an array by 90 degrees in the plane specified by axes.","cupy.rot90(a\, k=1\, axes=(0\, 1))","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.rot90.html#cupy.rot90"
"cupy.save","Saves an array to a binary file in .npy format.","cupy.save(file\, arr\, allow_pickle=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.save.html#cupy.save"
"cupy.savez","Saves one or more arrays into a file in uncompressed .npz format.","cupy.savez(file\, *args\, **kwds)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.savez.html#cupy.savez"
"cupy.savez_compressed","Saves one or more arrays into a file in compressed .npz format.","cupy.savez_compressed(file\, *args\, **kwds)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.savez_compressed.html#cupy.savez_compressed"
"cupy.sign = <ufunc 'cupy_sign'>","Elementwise sign function.","cupy.sign = <ufunc 'cupy_sign'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.sign.html#cupy.sign"
"cupy.signbit = <ufunc 'cupy_signbit'>","Tests elementwise if the sign bit is set (i.e. less than zero).","cupy.signbit = <ufunc 'cupy_signbit'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.signbit.html#cupy.signbit"
"cupy.sin = <ufunc 'cupy_sin'>","Elementwise sine function.","cupy.sin = <ufunc 'cupy_sin'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.sin.html#cupy.sin"
"cupy.sinc = <ufunc 'cupy_sinc'>","Elementwise sinc function.","cupy.sinc = <ufunc 'cupy_sinc'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.sinc.html#cupy.sinc"
"cupy.sinh = <ufunc 'cupy_sinh'>","Elementwise hyperbolic sine function.","cupy.sinh = <ufunc 'cupy_sinh'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.sinh.html#cupy.sinh"
"cupy.sort","Returns a sorted copy of an array with a stable sorting algorithm.","cupy.sort(a\, axis=-1)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.sort.html#cupy.sort"
"cupy.split","Splits an array into multiple sub arrays along a given axis.","cupy.split(ary\, indices_or_sections\, axis=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.split.html#cupy.split"
"cupy.sqrt = <ufunc 'cupy_sqrt'>","Elementwise square root function.","cupy.sqrt = <ufunc 'cupy_sqrt'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.sqrt.html#cupy.sqrt"
"cupy.square = <ufunc 'cupy_square'>","Elementwise square function.","cupy.square = <ufunc 'cupy_square'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.square.html#cupy.square"
"cupy.squeeze","Removes size-one axes from the shape of an array.","cupy.squeeze(a\, axis=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.squeeze.html#cupy.squeeze"
"cupy.stack","Stacks arrays along a new axis.","cupy.stack(tup\, axis=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.stack.html#cupy.stack"
"cupy.std","Returns the standard deviation along an axis.","cupy.std(a\, axis=None\, dtype=None\, out=None\, ddof=0\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.std.html#cupy.std"
"cupy.subtract = <ufunc 'cupy_subtract'>","Subtracts arguments elementwise.","cupy.subtract = <ufunc 'cupy_subtract'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.subtract.html#cupy.subtract"
"cupy.sum","Returns the sum of an array along given axes.","cupy.sum(a\, axis=None\, dtype=None\, out=None\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.sum.html#cupy.sum"
"cupy.swapaxes","Swaps the two axes.","cupy.swapaxes(a\, axis1\, axis2)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.swapaxes.html#cupy.swapaxes"
"cupy.take","Takes elements of an array at specified indices along an axis.","cupy.take(a\, indices\, axis=None\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.take.html#cupy.take"
"cupy.take_along_axis","Take values from the input array by matching 1d index and data slices.","cupy.take_along_axis(a\, indices\, axis)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.take_along_axis.html#cupy.take_along_axis"
"cupy.tan = <ufunc 'cupy_tan'>","Elementwise tangent function.","cupy.tan = <ufunc 'cupy_tan'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.tan.html#cupy.tan"
"cupy.tanh = <ufunc 'cupy_tanh'>","Elementwise hyperbolic tangent function.","cupy.tanh = <ufunc 'cupy_tanh'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.tanh.html#cupy.tanh"
"cupy.tensordot","Returns the tensor dot product of two arrays along specified axes.","cupy.tensordot(a\, b\, axes=2)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.tensordot.html#cupy.tensordot"
"cupy.tile","Construct an array by repeating A the number of times given by reps.","cupy.tile(A\, reps)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.tile.html#cupy.tile"
"cupy.trace","Returns the sum along the diagonals of an array.","cupy.trace(a\, offset=0\, axis1=0\, axis2=1\, dtype=None\, out=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.trace.html#cupy.trace"
"cupy.transpose","Permutes the dimensions of an array.","cupy.transpose(a\, axes=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.transpose.html#cupy.transpose"
"cupy.tri","Creates an array with ones at and below the given diagonal.","cupy.tri(N\, M=None\, k=0\, dtype=<class 'float'>)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.tri.html#cupy.tri"
"cupy.tril","Returns a lower triangle of an array.","cupy.tril(m\, k=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.tril.html#cupy.tril"
"cupy.triu","Returns an upper triangle of an array.","cupy.triu(m\, k=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.triu.html#cupy.triu"
"cupy.true_divide = <ufunc 'cupy_true_divide'>","Elementwise true division (i.e. division as floating values).","cupy.true_divide = <ufunc 'cupy_true_divide'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.true_divide.html#cupy.true_divide"
"cupy.trunc = <ufunc 'cupy_trunc'>","Rounds each element of an array towards zero.","cupy.trunc = <ufunc 'cupy_trunc'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.trunc.html#cupy.trunc"
"cupy.unique","Find the unique elements of an array.","cupy.unique(ar\, return_index=False\, return_inverse=False\, return_counts=False\, axis=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.unique.html#cupy.unique"
"cupy.unpackbits","Unpacks elements of a uint8 array into a binary-valued output array.","cupy.unpackbits(myarray)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.unpackbits.html#cupy.unpackbits"
"cupy.unravel_index","Converts array of flat indices into a tuple of coordinate arrays.","cupy.unravel_index(indices\, dims\, order='C')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.unravel_index.html#cupy.unravel_index"
"cupy.unwrap","Unwrap by changing deltas between values to 2*pi complement.","cupy.unwrap(p\, discont=3.141592653589793\, axis=-1)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.unwrap.html#cupy.unwrap"
"cupy.var","Returns the variance along an axis.","cupy.var(a\, axis=None\, dtype=None\, out=None\, ddof=0\, keepdims=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.var.html#cupy.var"
"cupy.vdot","Returns the dot product of two vectors.","cupy.vdot(a\, b)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.vdot.html#cupy.vdot"
"cupy.vsplit","Splits an array into multiple sub arrays along the first axis.","cupy.vsplit(ary\, indices_or_sections)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.vsplit.html#cupy.vsplit"
"cupy.vstack","Stacks arrays vertically.","cupy.vstack(tup)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.vstack.html#cupy.vstack"
"cupy.where","Return elements\, either from x or y\, depending on condition.","cupy.where(condition\, x=None\, y=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.where.html#cupy.where"
"cupy.zeros","Returns a new array of given shape and dtype\, filled with zeros.","cupy.zeros(shape\, dtype=<class 'float'>\, order='C')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.zeros.html#cupy.zeros"
"cupy.zeros_like","Returns an array of zeros with same shape and dtype as a given array.","cupy.zeros_like(a\, dtype=None\, order='K'\, subok=None\, shape=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupy.zeros_like.html#cupy.zeros_like"
"cupyx.rsqrt = <ufunc 'cupy_rsqrt'>","Returns the reciprocal square root.","cupyx.rsqrt = <ufunc 'cupy_rsqrt'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.rsqrt.html#cupyx.rsqrt"
"cupyx.scatter_add","Adds given values to specified elements of an array.","cupyx.scatter_add(a\, slices\, value)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scatter_add.html#cupyx.scatter_add"
"cupyx.scatter_max","Stores a maximum value of elements specified by indices to an array.","cupyx.scatter_max(a\, slices\, value)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scatter_max.html#cupyx.scatter_max"
"cupyx.scatter_min","Stores a minimum value of elements specified by indices to an array.","cupyx.scatter_min(a\, slices\, value)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scatter_min.html#cupyx.scatter_min"
"cupyx.scipy.fft.fft","Compute the one-dimensional FFT.","cupyx.scipy.fft.fft(x\, n=None\, axis=-1\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.fft.html#cupyx.scipy.fft.fft"
"cupyx.scipy.fft.fft2","Compute the two-dimensional FFT.","cupyx.scipy.fft.fft2(x\, s=None\, axes=(-2\, -1)\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.fft2.html#cupyx.scipy.fft.fft2"
"cupyx.scipy.fft.fftn","Compute the N-dimensional FFT.","cupyx.scipy.fft.fftn(x\, s=None\, axes=None\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.fftn.html#cupyx.scipy.fft.fftn"
"cupyx.scipy.fft.hfft","Compute the FFT of a signal that has Hermitian symmetry.","cupyx.scipy.fft.hfft(x\, n=None\, axis=-1\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.hfft.html#cupyx.scipy.fft.hfft"
"cupyx.scipy.fft.ifft","Compute the one-dimensional inverse FFT.","cupyx.scipy.fft.ifft(x\, n=None\, axis=-1\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.ifft.html#cupyx.scipy.fft.ifft"
"cupyx.scipy.fft.ifft2","Compute the two-dimensional inverse FFT.","cupyx.scipy.fft.ifft2(x\, s=None\, axes=(-2\, -1)\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.ifft2.html#cupyx.scipy.fft.ifft2"
"cupyx.scipy.fft.ifftn","Compute the N-dimensional inverse FFT.","cupyx.scipy.fft.ifftn(x\, s=None\, axes=None\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.ifftn.html#cupyx.scipy.fft.ifftn"
"cupyx.scipy.fft.ihfft","Compute the FFT of a signal that has Hermitian symmetry.","cupyx.scipy.fft.ihfft(x\, n=None\, axis=-1\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.ihfft.html#cupyx.scipy.fft.ihfft"
"cupyx.scipy.fft.irfft","Compute the one-dimensional inverse FFT for real input.","cupyx.scipy.fft.irfft(x\, n=None\, axis=-1\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.irfft.html#cupyx.scipy.fft.irfft"
"cupyx.scipy.fft.irfft2","Compute the two-dimensional inverse FFT for real input.","cupyx.scipy.fft.irfft2(x\, s=None\, axes=(-2\, -1)\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.irfft2.html#cupyx.scipy.fft.irfft2"
"cupyx.scipy.fft.irfftn","Compute the N-dimensional inverse FFT for real input.","cupyx.scipy.fft.irfftn(x\, s=None\, axes=None\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.irfftn.html#cupyx.scipy.fft.irfftn"
"cupyx.scipy.fft.rfft","Compute the one-dimensional FFT for real input.","cupyx.scipy.fft.rfft(x\, n=None\, axis=-1\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.rfft.html#cupyx.scipy.fft.rfft"
"cupyx.scipy.fft.rfft2","Compute the two-dimensional FFT for real input.","cupyx.scipy.fft.rfft2(x\, s=None\, axes=(-2\, -1)\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.rfft2.html#cupyx.scipy.fft.rfft2"
"cupyx.scipy.fft.rfftn","Compute the N-dimensional FFT for real input.","cupyx.scipy.fft.rfftn(x\, s=None\, axes=None\, norm=None\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fft.rfftn.html#cupyx.scipy.fft.rfftn"
"cupyx.scipy.fftpack.fft","Compute the one-dimensional FFT.","cupyx.scipy.fftpack.fft(x\, n=None\, axis=-1\, overwrite_x=False\, plan=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fftpack.fft.html#cupyx.scipy.fftpack.fft"
"cupyx.scipy.fftpack.fft2","Compute the two-dimensional FFT.","cupyx.scipy.fftpack.fft2(x\, shape=None\, axes=(-2\, -1)\, overwrite_x=False\, plan=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fftpack.fft2.html#cupyx.scipy.fftpack.fft2"
"cupyx.scipy.fftpack.fftn","Compute the N-dimensional FFT.","cupyx.scipy.fftpack.fftn(x\, shape=None\, axes=None\, overwrite_x=False\, plan=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fftpack.fftn.html#cupyx.scipy.fftpack.fftn"
"cupyx.scipy.fftpack.get_fft_plan","Generate a CUDA FFT plan for transforming up to three axes.","cupyx.scipy.fftpack.get_fft_plan(a\, shape=None\, axes=None\, value_type='C2C')","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fftpack.get_fft_plan.html#cupyx.scipy.fftpack.get_fft_plan"
"cupyx.scipy.fftpack.ifft","Compute the one-dimensional inverse FFT.","cupyx.scipy.fftpack.ifft(x\, n=None\, axis=-1\, overwrite_x=False\, plan=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fftpack.ifft.html#cupyx.scipy.fftpack.ifft"
"cupyx.scipy.fftpack.ifft2","Compute the two-dimensional inverse FFT.","cupyx.scipy.fftpack.ifft2(x\, shape=None\, axes=(-2\, -1)\, overwrite_x=False\, plan=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fftpack.ifft2.html#cupyx.scipy.fftpack.ifft2"
"cupyx.scipy.fftpack.ifftn","Compute the N-dimensional inverse FFT.","cupyx.scipy.fftpack.ifftn(x\, shape=None\, axes=None\, overwrite_x=False\, plan=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fftpack.ifftn.html#cupyx.scipy.fftpack.ifftn"
"cupyx.scipy.fftpack.irfft","Compute the one-dimensional inverse FFT for real input.","cupyx.scipy.fftpack.irfft(x\, n=None\, axis=-1\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fftpack.irfft.html#cupyx.scipy.fftpack.irfft"
"cupyx.scipy.fftpack.rfft","Compute the one-dimensional FFT for real input.","cupyx.scipy.fftpack.rfft(x\, n=None\, axis=-1\, overwrite_x=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.fftpack.rfft.html#cupyx.scipy.fftpack.rfft"
"cupyx.scipy.get_array_module","Returns the array module for arguments.","cupyx.scipy.get_array_module(*args)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.get_array_module.html#cupyx.scipy.get_array_module"
"cupyx.scipy.linalg.lu_factor","LU decomposition.","cupyx.scipy.linalg.lu_factor(a\, overwrite_a=False\, check_finite=True)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.linalg.lu_factor.html#cupyx.scipy.linalg.lu_factor"
"cupyx.scipy.linalg.lu_solve","Solve an equation system\, a * x = b\, given the LU factorization of a","cupyx.scipy.linalg.lu_solve(lu_and_piv\, b\, trans=0\, overwrite_b=False\, check_finite=True)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.linalg.lu_solve.html#cupyx.scipy.linalg.lu_solve"
"cupyx.scipy.linalg.solve_triangular","Solve the equation a x = b for x\, assuming a is a triangular matrix.","cupyx.scipy.linalg.solve_triangular(a\, b\, trans=0\, lower=False\, unit_diagonal=False\, overwrite_b=False\, check_finite=False)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.linalg.solve_triangular.html#cupyx.scipy.linalg.solve_triangular"
"cupyx.scipy.ndimage.affine_transform","Apply an affine transformation.","cupyx.scipy.ndimage.affine_transform(input\, matrix\, offset=0.0\, output_shape=None\, output=None\, order=None\, mode='constant'\, cval=0.0\, prefilter=True)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.ndimage.affine_transform.html#cupyx.scipy.ndimage.affine_transform"
"cupyx.scipy.ndimage.convolve","Multi-dimensional convolution.","cupyx.scipy.ndimage.convolve(input\, weights\, output=None\, mode='reflect'\, cval=0.0\, origin=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.ndimage.convolve.html#cupyx.scipy.ndimage.convolve"
"cupyx.scipy.ndimage.correlate","Multi-dimensional correlate.","cupyx.scipy.ndimage.correlate(input\, weights\, output=None\, mode='reflect'\, cval=0.0\, origin=0)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.ndimage.correlate.html#cupyx.scipy.ndimage.correlate"
"cupyx.scipy.ndimage.map_coordinates","Map the input array to new coordinates by interpolation.","cupyx.scipy.ndimage.map_coordinates(input\, coordinates\, output=None\, order=None\, mode='constant'\, cval=0.0\, prefilter=True)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.ndimage.map_coordinates.html#cupyx.scipy.ndimage.map_coordinates"
"cupyx.scipy.ndimage.rotate","Rotate an array.","cupyx.scipy.ndimage.rotate(input\, angle\, axes=(1\, 0)\, reshape=True\, output=None\, order=None\, mode='constant'\, cval=0.0\, prefilter=True)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.ndimage.rotate.html#cupyx.scipy.ndimage.rotate"
"cupyx.scipy.ndimage.shift","Shift an array.","cupyx.scipy.ndimage.shift(input\, shift\, output=None\, order=None\, mode='constant'\, cval=0.0\, prefilter=True)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.ndimage.shift.html#cupyx.scipy.ndimage.shift"
"cupyx.scipy.ndimage.zoom","Zoom an array.","cupyx.scipy.ndimage.zoom(input\, zoom\, output=None\, order=None\, mode='constant'\, cval=0.0\, prefilter=True)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.ndimage.zoom.html#cupyx.scipy.ndimage.zoom"
"cupyx.scipy.sparse.diags","Construct a sparse matrix from diagonals.","cupyx.scipy.sparse.diags(diagonals\, offsets=0\, shape=None\, format=None\, dtype=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.diags.html#cupyx.scipy.sparse.diags"
"cupyx.scipy.sparse.eye","Creates a sparse matrix with ones on diagonal.","cupyx.scipy.sparse.eye(m\, n=None\, k=0\, dtype='d'\, format=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.eye.html#cupyx.scipy.sparse.eye"
"cupyx.scipy.sparse.identity","Creates an identity matrix in sparse format.","cupyx.scipy.sparse.identity(n\, dtype='d'\, format=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.identity.html#cupyx.scipy.sparse.identity"
"cupyx.scipy.sparse.issparse","Checks if a given matrix is a sparse matrix.","cupyx.scipy.sparse.issparse(x)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.issparse.html#cupyx.scipy.sparse.issparse"
"cupyx.scipy.sparse.isspmatrix","Checks if a given matrix is a sparse matrix.","cupyx.scipy.sparse.isspmatrix(x)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.isspmatrix.html#cupyx.scipy.sparse.isspmatrix"
"cupyx.scipy.sparse.isspmatrix_coo","Checks if a given matrix is of COO format.","cupyx.scipy.sparse.isspmatrix_coo(x)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.isspmatrix_coo.html#cupyx.scipy.sparse.isspmatrix_coo"
"cupyx.scipy.sparse.isspmatrix_csc","Checks if a given matrix is of CSC format.","cupyx.scipy.sparse.isspmatrix_csc(x)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.isspmatrix_csc.html#cupyx.scipy.sparse.isspmatrix_csc"
"cupyx.scipy.sparse.isspmatrix_csr","Checks if a given matrix is of CSR format.","cupyx.scipy.sparse.isspmatrix_csr(x)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.isspmatrix_csr.html#cupyx.scipy.sparse.isspmatrix_csr"
"cupyx.scipy.sparse.isspmatrix_dia","Checks if a given matrix is of DIA format.","cupyx.scipy.sparse.isspmatrix_dia(x)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.isspmatrix_dia.html#cupyx.scipy.sparse.isspmatrix_dia"
"cupyx.scipy.sparse.linalg.lsqr","Solves linear system with QR decomposition.","cupyx.scipy.sparse.linalg.lsqr(A\, b)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.linalg.lsqr.html#cupyx.scipy.sparse.linalg.lsqr"
"cupyx.scipy.sparse.rand","Generates a random sparse matrix.","cupyx.scipy.sparse.rand(m\, n\, density=0.01\, format='coo'\, dtype=None\, random_state=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.rand.html#cupyx.scipy.sparse.rand"
"cupyx.scipy.sparse.random","Generates a random sparse matrix.","cupyx.scipy.sparse.random(m\, n\, density=0.01\, format='coo'\, dtype=None\, random_state=None\, data_rvs=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.random.html#cupyx.scipy.sparse.random"
"cupyx.scipy.sparse.spdiags","Creates a sparse matrix from diagonals.","cupyx.scipy.sparse.spdiags(data\, diags\, m\, n\, format=None)","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.sparse.spdiags.html#cupyx.scipy.sparse.spdiags"
"cupyx.scipy.special.digamma = <ufunc 'cupyx_scipy_digamma'>","The digamma function.","cupyx.scipy.special.digamma = <ufunc 'cupyx_scipy_digamma'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.digamma.html#cupyx.scipy.special.digamma"
"cupyx.scipy.special.erf = <ufunc 'cupyx_scipy_erf'>","Error function.","cupyx.scipy.special.erf = <ufunc 'cupyx_scipy_erf'>","https://docs-cupy.chainer.org/en/stable/reference/generated/cupyx.scipy.special.erf.html#cupyx.scipy.special.erf"
